Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M10mPF,Semi,KALEC Christopher,CAN,17,4,2,8.5,BOOTHROYD Sydney,GBR
M10mPF,Semi,KALEC Christopher,CAN,17,4,2,8.5,BOUSSARD Michel,FRA
M10mPF,Semi,KALEC Christopher,CAN,17,4,2,7.5,WANG Facheng,CHN
M10mPF,Semi,KALEC Christopher,CAN,17,4,2,8,BARNETT Madeleine,AUS
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,HOOD Robin,NZL
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,BURK Hans-Peter,GER
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,LINDBERG Mathz,SWE
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,8,McFARLAND Steve,USA
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,MENA Jesus,MEX
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,STEWART Anthea,ZIM
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,1,1.6,7.5,CRUZ Julia,ESP
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7,HOOD Robin,NZL
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7,BURK Hans-Peter,GER
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7.5,LINDBERG Mathz,SWE
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7.5,McFARLAND Steve,USA
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,6.5,MENA Jesus,MEX
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7.5,STEWART Anthea,ZIM
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,2,2,7,CRUZ Julia,ESP
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,7.5,CALDERON Felix,PUR
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,8,BOYS Beverley,CAN
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,7.5,ZAITSEV Oleg,RUS
M10mPF,Semi,MAZZUCCHI Massimiliano,ITA,18,3,1.9,7.5,BOOTHROYD Sydney,GBR
