yearID,teamID,RS,RA,W,G,WP,WP_Pythag_2
2017,ARI,812,659,93,162,0.5740740740740741,0.6028977025945822
2017,ATL,732,821,72,162,0.4444444444444444,0.4428791642042707
2017,BAL,743,841,75,162,0.46296296296296297,0.43836722701754105
2017,BOS,785,668,93,162,0.5740740740740741,0.5800043107951535
2017,CHA,706,820,67,162,0.41358024691358025,0.4257094930459945
2017,CHN,822,695,92,162,0.5679012345679012,0.5831351961536503
2017,CIN,753,869,68,162,0.41975308641975306,0.4288472737998896
2017,CLE,818,564,102,162,0.6296296296296297,0.6777861064403071
2017,COL,824,757,87,162,0.5370370370370371,0.5423022703220782
2017,DET,735,894,64,162,0.3950617283950617,0.40331521410477794
2017,HOU,896,700,101,162,0.6234567901234568,0.6209824135839903
2017,KCA,702,791,80,162,0.49382716049382713,0.44059956101333503
2017,LAA,710,709,80,162,0.49382716049382713,0.5007047212849667
2017,LAN,770,580,104,162,0.6419753086419753,0.6380071021198752
2017,MIA,778,822,77,162,0.47530864197530864,0.47252078115924834
2017,MIL,732,697,86,162,0.5308641975308642,0.524477968115752
2017,MIN,815,788,85,162,0.5246913580246914,0.5168386414549371
2017,NYA,858,660,91,162,0.5617283950617284,0.6282527881040892
2017,NYN,735,863,70,162,0.43209876543209874,0.4204105233176186
2017,OAK,739,826,75,162,0.46296296296296297,0.4445802130744377
2017,PHI,690,782,66,162,0.4074074074074074,0.4377431906614786
2017,PIT,668,731,75,162,0.46296296296296297,0.45505896990062056
2017,SDN,604,816,71,162,0.4382716049382716,0.35395935855441885
2017,SEA,750,772,78,162,0.48148148148148145,0.485548354573736
2017,SFN,639,776,64,162,0.3950617283950617,0.40407937876114425
2017,SLN,761,705,83,162,0.5123456790123457,0.5381435232765814
2017,TBA,694,704,80,162,0.49382716049382713,0.4928472901564796
2017,TEX,799,816,78,162,0.48148148148148145,0.4894748504320851
2017,TOR,693,784,76,162,0.4691358024691358,0.4386216155739539
2017,WAS,819,672,97,162,0.5987654320987654,0.5976424361493123
2018,ARI,693,644,82,162,0.5061728395061729,0.536600054749521
2018,ATL,759,657,90,162,0.5555555555555556,0.571662052335447
2018,BAL,622,892,47,162,0.29012345679012347,0.32716134989869333
2018,BOS,876,647,108,162,0.6666666666666666,0.6470368512249312
2018,CHA,656,848,62,162,0.38271604938271603,0.37438752783964363
2018,CHN,761,645,95,163,0.5828220858895705,0.581945764742058
2018,CIN,696,819,67,162,0.41358024691358025,0.41934352917345136
2018,CLE,818,648,91,162,0.5617283950617284,0.6144231369625024
2018,COL,780,745,91,163,0.558282208588957,0.5229387369190107
2018,DET,630,796,64,162,0.3950617283950617,0.3851468584670204
2018,HOU,797,534,103,162,0.6358024691358025,0.6901707474751865
2018,KCA,638,833,58,162,0.35802469135802467,0.36972640478575897
