row_idx,player_szn,szn,PLAYER_ID,PLAYER_NAME,FGA_freq_Spotup_OG,FGA_freq_PRRollMan_OG,FGA_freq_Postup_OG,FGA_freq_Cut_OG,FGA_freq_OffRebound_OG,FGA_freq_PRBallHandler_OG,FGA_freq_Isolation_OG,FGA_freq_OffScreenOrHandoff_OG
3470,Georgios Papagiannis 2016,2016,1627834,Georgios Papagiannis,0,0.18181818181818182,0.29545454545454547,0.29545454545454547,0.22727272727272724,0,0,0
3471,Paul Zipser 2016,2016,1627835,Paul Zipser,0.6666666666666666,0,0,0,0,0.1388888888888889,0.08333333333333333,0.11111111111111112
3472,Paul Zipser 2017,2017,1627835,Paul Zipser,0.6388888888888888,0,0,0.05555555555555555,0,0.08333333333333333,0.08333333333333333,0.1388888888888889
3473,Abdel Nader 2017,2017,1627846,Abdel Nader,0.6190476190476191,0,0,0,0,0.1904761904761905,0,0.1904761904761905
3474,Abdel Nader 2018,2018,1627846,Abdel Nader,0.782608695652174,0,0,0,0,0.13043478260869565,0.08695652173913045,0
3475,Abdel Nader 2019,2019,1627846,Abdel Nader,0.5833333333333334,0,0,0.05555555555555556,0,0.11111111111111112,0,0.25
3476,Abdel Nader 2020,2020,1627846,Abdel Nader,0.7272727272727272,0,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909
3477,Abdel Nader 2021,2021,1627846,Abdel Nader,1,0,0,0,0,0,0,0
3478,Shawn Long 2016,2016,1627848,Shawn Long,0.21153846153846156,0.23076923076923078,0.07692307692307694,0.1346153846153846,0.3461538461538462,0,0,0
3479,Mindaugas Kuzminskas 2016,2016,1627851,Mindaugas Kuzminskas,0.5238095238095238,0,0.023809523809523805,0.16666666666666663,0.09523809523809522,0.07142857142857141,0.04761904761904761,0.07142857142857141
3480,Ryan Arcidiacono 2017,2017,1627853,Ryan Arcidiacono,0.75,0,0,0,0,0.24999999999999997,0,0
3481,Ryan Arcidiacono 2018,2018,1627853,Ryan Arcidiacono,0.40909090909090906,0,0,0.045454545454545456,0,0.40909090909090906,0.045454545454545456,0.09090909090909091
3482,Ryan Arcidiacono 2019,2019,1627853,Ryan Arcidiacono,0.6153846153846154,0,0,0.038461538461538464,0,0.26923076923076916,0,0.07692307692307693
3483,Ryan Arcidiacono 2020,2020,1627853,Ryan Arcidiacono,0.5909090909090909,0,0,0.13636363636363633,0,0.18181818181818182,0,0.09090909090909091
3484,Ryan Arcidiacono 2022,2022,1627853,Ryan Arcidiacono,0.5,0,0,0,0,0.5,0,0
3485,Bryn Forbes 2017,2017,1627854,Bryn Forbes,0.5294117647058824,0,0,0,0,0.2156862745098039,0,0.2549019607843137
3486,Bryn Forbes 2018,2018,1627854,Bryn Forbes,0.48051948051948057,0,0,0,0,0.3246753246753247,0.025974025974025976,0.1688311688311688
3487,Bryn Forbes 2019,2019,1627854,Bryn Forbes,0.5,0,0,0,0,0.18055555555555555,0,0.3194444444444444
3488,Bryn Forbes 2020,2020,1627854,Bryn Forbes,0.4363636363636364,0.09090909090909091,0,0,0,0.09090909090909091,0,0.38181818181818183
3489,Bryn Forbes 2021,2021,1627854,Bryn Forbes,0.4173913043478261,0,0,0,0,0.13043478260869565,0,0.45217391304347826
3490,Bryn Forbes 2022,2022,1627854,Bryn Forbes,0.6818181818181819,0,0,0,0,0,0,0.31818181818181823
3491,Okaro White 2016,2016,1627855,Okaro White,0.6,0,0,0.19999999999999998,0.19999999999999998,0,0,0
3492,Okaro White 2017,2017,1627855,Okaro White,1,0,0,0,0,0,0,0
3493,Kyle Collinsworth 2017,2017,1627858,Kyle Collinsworth,0.4,0,0,0,0.25,0.35,0,0
3494,Danuel House Jr. 2017,2017,1627863,Danuel House Jr.,0.6000000000000001,0,0,0,0,0.2,0,0.2
3495,Danuel House Jr. 2018,2018,1627863,Danuel House Jr.,0.7727272727272727,0,0,0,0,0.04545454545454546,0.06818181818181819,0.11363636363636365
3496,Danuel House Jr. 2019,2019,1627863,Danuel House Jr.,0.6507936507936508,0.07936507936507936,0,0.09523809523809525,0.04761904761904762,0.03174603174603175,0.03174603174603175,0.0634920634920635
3497,Danuel House Jr. 2020,2020,1627863,Danuel House Jr.,0.5799999999999998,0,0,0.07999999999999999,0.05999999999999999,0.13999999999999993,0.07999999999999999,0.05999999999999999
3498,Danuel House Jr. 2021,2021,1627863,Danuel House Jr.,0.9411764705882353,0,0,0,0,0.058823529411764705,0,0
3499,Danuel House Jr. 2022,2022,1627863,Danuel House Jr.,0.8000000000000002,0,0,0.05000000000000001,0,0.10000000000000002,0,0.05000000000000001
3500,Jalen Jones 2017,2017,1627883,Jalen Jones,0.7333333333333334,0,0,0,0.26666666666666666,0,0,0
3501,Jalen Jones 2018,2018,1627883,Jalen Jones,1,0,0,0,0,0,0,0
