ydl,next_ydl,season,punter,pq
87,56,2015,M.Bosher,0.5761002847918166
77,66,2015,M.Bosher,0.5767695697143205
39,98,2015,B.Wing,-0.21994172592176822
54,64,2015,M.Bosher,0.5778443950650923
61,70,2015,B.Wing,-0.20460848171018128
48,80,2015,M.King,0.21883122590866239
76,75,2015,S.Koch,0.723437095442116
62,84,2015,S.Koch,0.7354683629462531
77,93,2015,M.King,0.20887057415338137
84,60,2015,C.Jones,-0.016766911970710178
51,87,2015,D.Jones,0.7810470228757297
78,82,2015,C.Jones,-0.011477726453023208
65,80,2015,D.Jones,0.7805555268628014
80,86,2015,D.Jones,0.784539813752624
59,85,2015,C.Jones,0.017296659973129874
83,72,2015,D.Jones,0.818033349482889
69,74,2015,C.Jones,0.025243229842036155
80,89,2015,D.Jones,0.8352290743768546
80,68,2015,D.Jones,0.8728426019820191
61,80,2015,C.Jones,0.029519230254973255
66,77,2015,C.Jones,0.032377947530443686
58,79,2015,B.Colquitt,0.18208824819655398
95,73,2015,B.Colquitt,0.17938347245749728
69,89,2015,D.Colquitt,0.7943271873893247
75,31,2015,B.Colquitt,0.21717671654750392
45,91,2015,B.Colquitt,0.16616953110985405
85,58,2015,D.Colquitt,0.8166249589046282
78,85,2015,D.Colquitt,0.8162352824347834
74,88,2015,B.Colquitt,0.17091535660834162
78,78,2015,D.Colquitt,0.8452445419945179
83,58,2015,B.Colquitt,0.20181510195464092
65,61,2015,B.Colquitt,0.20168253992215193
54,81,2015,S.Martin,0.2690238056047791
72,90,2015,J.Locke,0.052895463524537126
87,50,2015,S.Martin,0.26485652129564957
88,34,2015,S.Martin,0.25833514867959323
47,92,2015,J.Locke,0.08448742600834637
62,82,2015,S.Martin,0.2298861126980033
63,77,2015,J.Locke,0.09210534244660404
80,72,2015,B.Nortman,0.20209262747146406
78,85,2015,S.Lechler,0.5752680162002815
79,78,2015,B.Nortman,0.21808902096903898
66,85,2015,B.Nortman,0.24131867632514428
41,80,2015,B.Nortman,0.25657235753394536
75,74,2015,S.Lechler,0.6054821120911886
66,61,2015,S.Lechler,0.615219346894115
89,50,2015,S.Lechler,0.5936160193259068
62,86,2015,S.Lechler,0.5881638122501257
83,70,2015,B.Nortman,0.2435393526732798
74,91,2015,S.Lechler,0.5981544882814204
59,84,2015,S.Lechler,0.631291476147375
85,54,2015,B.Nortman,0.2606919220992799
54,80,2015,S.Lechler,0.6347102592094032
78,68,2015,B.Nortman,0.25725065990943435
74,72,2015,M.Darr,-0.4436999396761212
52,80,2015,B.Anger,0.4004801847100474
82,55,2015,B.Anger,0.3924777819388746
47,80,2015,B.Anger,0.3855975207239536
58,78,2015,M.Darr,-0.4330521214645091
82,64,2015,B.Anger,0.37421613397655096
43,80,2015,M.Darr,-0.43413900808126726
80,76,2015,B.Anger,0.3805474955355032
61,66,2015,M.Darr,-0.4431978375392292
67,77,2015,B.Anger,0.4014828655967854
75,68,2015,M.Darr,-0.4583849130888838
48,92,2015,B.Anger,0.40557944668474877
86,76,2015,M.Darr,-0.452075219516098
78,72,2015,R.Allen,0.11774766567158754
77,62,2015,C.Schmidt,-0.23414650565540843
99,13,2015,C.Schmidt,-0.2348483508318152
75,58,2015,C.Schmidt,-0.27790851585966814
41,88,2015,C.Schmidt,-0.287079331533097
